method,sigma,lambda,psnr_mean,psnr_std,ssim_mean,ssim_std
fista,0.005,0.001,41.43938381337183,2.4594667764667704,0.9682082375117849,0.01275115102256641
fista,0.01,0.001,40.94844538723897,2.56786922855953,0.9608321117399697,0.016650098712641698
fista,0.05,0.02,34.52615376121546,2.526598762428618,0.8911157277593289,0.039277554800758
fista,0.1,0.02,33.48585007736448,2.801727579530043,0.8001444170360013,0.09083295917581193
