method,sigma,lambda,psnr_mean,psnr_std,ssim_mean,ssim_std
awtv,0.005,0.005,42.06599908326045,3.719172433434749,0.9636700631239038,0.02206593574350761
awtv,0.01,0.005,41.93142575968363,3.6699602000755216,0.9620168794115258,0.02198376634695752
awtv,0.05,0.01,39.27105616644065,3.315776939730719,0.916804602275276,0.04358880501547649
awtv,0.1,0.05,36.68928435641046,3.0051488024588195,0.8477190846408621,0.08871025317746038
